Method,B,C,N,O,F,Al,Si,P,S,Cl,Ga,Ge,As,Se,Br
Exp,15.287,16.417,8.713,158.265,404.141,112.061,77.115,15.61,396.055,882.352,826.19,557.134,322.1,1989.497,3685.24
CASSCF,13.249747,14.936736,11.085416,153.23477,382.58245,96.805609,72.89016,15.339218,398.6377,886.85742,685.91858,512.34561,354.53394,1949.6277,3683.6186
CASPT2,13.99,14.93,9.41,145.35,384.7,106.7,69.94,11.08,355.94,867.69,743.28,485.56,227.88,1745.74,3546.46
0.5,14.13301736,17.72723094,5.8935246,121.2668649,379.947072,107.13877,79.126032,15.074646,349.74906,871.37547,746.27715,542.36197,298.4553,1763.1301,3585.288
0.35,14.20091501,17.28657839,7.13951583,125.2358282,379.9786433,106.04321,78.642979,14.355757,367.38275,886.85475,742.41169,542.24205,310.56285,1835.9333,3624.1552
0.2,14.254213,17.734259,8.5576888,132.31544,380.90318,104.00636,77.778899,14.007384,390.50693,895.35203,733.22702,540.95632,332.20267,1924.8571,3689.1563
0.2 DC,13.990776,16.845711,8.3348423,132.04734,380.39126,103.99659,78.266772,14.368487,391.86722,895.35203,729.88691,540.82063,332.72028,1924.6043,3689.5729
0.2 DCDC,19.418926,20.154503,3.9752466,133.38542,423.01173,110.7937,82.349722,17.818722,407.04039,932.37956,748.70168,553.9615,346.23713,1963.8608,3759.8486
pt3_0.2,14.309219,16.877334,9.2623838,143.4191,388.26831,106.20979,79.836876,13.218379,416.29868,904.56614,781.21994,565.30615,346.42146,2046.6543,3748.6065
pt3_0.35,14.316997,17.196168,7.8894536,138.91964,391.67983,108.34815,81.524864,13.375364,400.61068,888.43617,791.62011,570.2474,327.81315,1991.3622,3683.9041
pt3_0.5,14.298885,17.427845,6.5938857,136.47702,394.42134,109.55255,82.695207,14.166866,385.57185,880.30252,795.11128,573.45625,318.57199,1934.5761,3644.236
pt3_1.0,14.235278,18.387192,3.2876894,133.13759,398.91049,111.01046,85.227296,17.142769,356.14671,876.41669,796.34668,581.67631,309.16933,1803.2537,3607.8757
pt3_once_0.35,14.311351,16.817701,7.5875772,137.29281,391.67983,108.36996,80.656946,13.4759100,401.6222000,888.43617,791.83555,565.06805,354.53394,1993.7561,3683.9041
